Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AM1,CD74HC4067SM,SSOP-24_5.3x8.2mm_P0.65mm,160.0,-151.0,180.0,bottom
AM2,CD74HC4067SM,SSOP-24_5.3x8.2mm_P0.65mm,190.0,-118.0,180.0,bottom
AM3,CD74HC4067SM,SSOP-24_5.3x8.2mm_P0.65mm,220.0,-151.0,180.0,bottom
C1,100n,C_0402_1005Metric,233.25,-57.2,90.0,bottom
C2,1u,C_0402_1005Metric,229.0,-57.8,90.0,bottom
C3,100n,C_0402_1005Metric,230.4,-70.4,270.0,bottom
C4,100n,C_0402_1005Metric,232.2,-57.8,90.0,bottom
C5,100n,C_0402_1005Metric,237.25,-61.1,180.0,bottom
C6,100n,C_0402_1005Metric,226.75,-65.5,0.0,bottom
C7,100n,C_0402_1005Metric,237.35,-65.5,180.0,bottom
C8,1u,C_0402_1005Metric,227.95,-58.8,90.0,bottom
C9,100n,C_0402_1005Metric,231.43,-70.4,270.0,bottom
C10,100n,C_0402_1005Metric,226.75,-61.55,0.0,bottom
C11,100n,C_0402_1005Metric,226.75,-60.5,0.0,bottom
C12,1u,C_0402_1005Metric,213.95,-53.5,90.0,bottom
C13,1u,C_0402_1005Metric,219.05,-53.48,90.0,bottom
C14,100n,C_0402_1005Metric,236.1,-51.9,0.0,bottom
C15,30p,C_0402_1005Metric,233.95,-71.7,0.0,bottom
C16,30p,C_0402_1005Metric,230.75,-74.35,270.0,bottom
D43,B5819W,D_SOD-123,209.25,-51.25,0.0,bottom
J5,USB_C_Receptacle,Shou Han Type-C 24P QCHT,190.0,-49.215,180.0,bottom
K1,Hall_Sensor,SOT-23,65.961,-108.914,270.0,bottom
K2,Hall_Sensor,SOT-23,88.907,-98.991,270.0,bottom
K3,Hall_Sensor,SOT-23,113.89,-98.047,270.0,bottom
K4,Hall_Sensor,SOT-23,134.294,-112.492,270.0,bottom
K5,Hall_Sensor,SOT-23,63.196,-133.761,270.0,bottom
K6,Hall_Sensor,SOT-23,86.142,-123.838,270.0,bottom
K7,Hall_Sensor,SOT-23,111.125,-122.893,270.0,bottom
K8,Hall_Sensor,SOT-23,131.529,-137.339,270.0,bottom
K9,Hall_Sensor,SOT-23,91.671,-74.145,270.0,bottom
K10,Hall_Sensor,SOT-23,116.45,-73.2,270.0,bottom
K11,Hall_Sensor,SOT-23,137.058,-87.645,270.0,bottom
K12,Hall_Sensor,SOT-23,157.654,-103.586,270.0,bottom
K13,Hall_Sensor,SOT-23,154.889,-128.433,270.0,bottom
K14,Hall_Sensor,SOT-23,135.188,-172.147,270.0,bottom
K15,Hall_Sensor,SOT-23,160.188,-172.147,270.0,bottom
K16,Hall_Sensor,SOT-23,147.483,-193.915,270.0,bottom
K17,Hall_Sensor,SOT-23,172.483,-193.915,270.0,bottom
K18,Hall_Sensor,SOT-23,160.144,-215.471,270.0,bottom
K19,Hall_Sensor,SOT-23,207.482,-193.915,270.0,bottom
K20,Hall_Sensor,SOT-23,219.82,-215.471,270.0,bottom
K21,Hall_Sensor,SOT-23,232.482,-193.915,270.0,bottom
K22,Hall_Sensor,SOT-23,219.777,-172.147,270.0,bottom
K23,Hall_Sensor,SOT-23,244.777,-172.147,270.0,bottom
K24,Hall_Sensor,SOT-23,248.436,-137.339,270.0,bottom
K25,Hall_Sensor,SOT-23,268.84,-122.893,270.0,bottom
K26,Hall_Sensor,SOT-23,293.822,-123.838,270.0,bottom
K27,Hall_Sensor,SOT-23,316.768,-133.761,270.0,bottom
K28,Hall_Sensor,SOT-23,245.671,-112.492,270.0,bottom
K29,Hall_Sensor,SOT-23,266.075,-98.047,270.0,bottom
K30,Hall_Sensor,SOT-23,291.057,-98.991,270.0,bottom
K31,Hall_Sensor,SOT-23,314.003,-108.914,270.0,bottom
K32,Hall_Sensor,SOT-23,288.293,-74.145,270.0,bottom
K33,Hall_Sensor,SOT-23,263.514,-73.2,270.0,bottom
K34,Hall_Sensor,SOT-23,242.907,-87.645,270.0,bottom
K35,Hall_Sensor,SOT-23,222.311,-103.586,270.0,bottom
K36,Hall_Sensor,SOT-23,225.076,-128.433,270.0,bottom
K37,Hall_Sensor,SOT-23,170.959,-64.054,270.0,bottom
K38,Hall_Sensor,SOT-23,190.0,-64.054,270.0,bottom
K39,Hall_Sensor,SOT-23,209.042,-64.054,270.0,bottom
K40,Hall_Sensor,SOT-23,170.959,-82.948,270.0,bottom
K41,Hall_Sensor,SOT-23,190.0,-82.948,270.0,bottom
K42,Hall_Sensor,SOT-23,209.042,-82.948,270.0,bottom
R1,5.1k,R_0402_1005Metric,184.0,-53.75,0.0,bottom
R2,5.1k,R_0402_1005Metric,184.01,-52.75,0.0,bottom
R3,27,R_0402_1005Metric,231.15,-57.8,270.0,bottom
R4,27,R_0402_1005Metric,230.07,-57.8,270.0,bottom
R5,1k,R_0402_1005Metric,242.2,-60.7,270.0,bottom
R6,10k,R_0402_1005Metric,245.85,-53.5,0.0,bottom
R7,1k,R_0402_1005Metric,232.45,-71.25,90.0,bottom
SW1,SW_Push,TS-1187A-B-A-B,241.0,-73.0,90.0,bottom
SW2,SW_Push,TS-1187A-B-A-B,248.0,-73.0,270.0,bottom
U2,RP2040,RP2040-QFN-56,232.0,-64.5,0.0,bottom
U5,TLV73333PDBV,SOT-23-5,216.5,-52.95,0.0,bottom
U6,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,239.8,-55.4,270.0,bottom
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,233.1,-74.35,270.0,bottom
